Altium Designer Pick and Place Locations
C:\Users\alan8\OneDrive - epfl.ch\Master project\main-module-60mmPIC\Project Outputs for main-module-60mmPIC\Pick Place\Pick Place for main-module-60mmPIC.csv

========================================================================================================================
File Design Information:

Date:       05/05/22
Time:       15:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J7","Socket","TopLayer","PIN1","16.7640","18.7960","270","Socket"
"J10","GRPB051VWVN-RC","TopLayer","CONN5_1VWVN-RC_SUL","28.8290","60.8330","0","No Description Available"
"U4","TPS61201DRCT","TopLayer","DRC0010J_V","42.5620","16.5210","0","Boost Voltage Converter with 0.3 to 5.5 V Input and 3.3 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)"
"BAT","SJUMPER3POS","TopLayer","SJUMPER3POS-Footprint-1","30.3530","13.7737","0","3 pins solder jumper"
"L2","SRN3015-4R7M","TopLayer","BOUR-SRN3015-2_V","38.6500","15.0550","90","Semi-shielded Power Inductor, 4.7 uH, +/- 20%, 1.4 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel"
"C42","C1206C104K1RACTU","TopLayer","FP-C1206C-EB-MFG","42.2910","19.8120","0","CAP CER 0.1UF 100V X7R 1206"
"C41","GRM188R60J106ME47D","TopLayer","FP-GRM188-0_1-e0_2_0_55-MFG","41.0210","13.2080","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"
"C40","CAP 22uF 6.3V 1206(3216)","TopLayer","CAPC1206(3216)190_M","47.2610","21.0930","180","CAP 22uF 6.3V กำ20% 1206 (3216 Metric) Thickness 1.9mm SMD"
"J17","BM05B-ADHKS-GAN-ETB","TopLayer","BM05BADHKSGANETB","61.6260","35.0000","90","Connector"
"U3","TLC5947RHBT","TopLayer","RHB0032E_V","34.6910","54.9260","270","24-Channel, 12-Bit PWM LED Driver with Internal Oscillator, 3 to 5.5 V, -40 to 85 degC, 32-pin QFN (RHB32), Green (RoHS & no Sb/Br)"
"R30","10K","TopLayer","1608[0603]_M","41.5290","48.0750","180","Generic Resistor"
"R29","10K","TopLayer","1608[0603]_M","41.5290","46.7360","180","Generic Resistor"
"J16","JUMPER","TopLayer","JUMPER","37.3880","50.0380","270","JUMPER"
"J15","JUMPER","TopLayer","JUMPER","37.3880","49.0220","270","JUMPER"
"R28","26R1, 0.1%, 1/8W","TopLayer","2012[0805]_M","54.1020","45.0850","0","Generic Resistor"
"R27","26R1, 0.1%, 1/8W","TopLayer","2012[0805]_M","54.1020","46.7360","0","Generic Resistor"
"R26","26R1, 0.1%, 1/8W","TopLayer","2012[0805]_M","54.1020","48.3870","0","Generic Resistor"
"LED3","Unpopulated","TopLayer","CABLE-TERMINAL1x2","57.9120","45.0850","180","Generic LED"
"LED2","Unpopulated","TopLayer","CABLE-TERMINAL1x2","57.9120","46.7360","180","Generic LED"
"LED1","Unpopulated","TopLayer","CABLE-TERMINAL1x2","57.9120","48.3870","180","Generic LED"
"C20","10nF","BottomLayer","1608[0603]_M","38.8620","57.4040","180","Generic Capacitor"
"J14","GRPB051VWVN-RC","TopLayer","CONN5_1VWVN-RC_SUL","14.2240","51.5620","90","No Description Available"
