timestamp, x, y, theta, goalVx, goalVy, goalW, weight, controller, run#, robotid
2022-02-17 15:05:18.406, 0.96, 0.60, 284.79, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.418, 626.21, 226.23, 28.72, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.438, 626.37, 226.68, 29.05, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.475, 626.60, 227.14, 28.54, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.491, 626.88, 227.44, 27.52, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.509, 627.62, 227.40, 27.20, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.537, 628.61, 227.56, 24.98, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.539, 628.02, 227.54, 24.25, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.590, 627.41, 227.13, 23.22, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.604, 627.44, 226.80, 23.54, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.618, 627.53, 226.64, 24.34, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.648, 627.47, 226.76, 23.73, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.687, 627.46, 226.81, 24.28, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.688, 627.45, 226.80, 24.72, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.711, 627.48, 226.78, 24.21, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.715, 627.47, 226.78, 23.94, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.765, 627.49, 226.80, 23.56, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.766, 627.48, 226.78, 23.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.790, 627.48, 226.78, 23.74, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.804, 627.48, 226.76, 24.21, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.827, 627.48, 226.78, 24.03, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.863, 627.46, 226.75, 24.82, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.884, 627.48, 226.78, 24.07, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.889, 627.48, 226.78, 23.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.942, 627.45, 226.73, 24.46, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.945, 627.46, 226.73, 24.19, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.959, 627.46, 226.76, 23.93, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
2022-02-17 15:05:18.972, 627.48, 226.76, 24.52, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:74:40:E3
