timestamp, x, y, theta, goalVx, goalVy, goalW, weight, controller, run#, robotid
2022-02-17 13:46:21.193, 846.33, 146.28, 253.12, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.227, 846.33, 146.28, 253.03, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.248, 846.33, 146.29, 252.89, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.390, 846.33, 146.28, 252.64, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.391, 846.32, 146.28, 252.89, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.394, 846.33, 146.28, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.395, 846.33, 146.28, 252.84, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.397, 846.32, 146.29, 253.09, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.399, 846.32, 146.28, 252.87, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.400, 846.32, 146.28, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.401, 846.33, 146.27, 252.68, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.592, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.593, 846.32, 146.28, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.645, 846.32, 146.28, 252.80, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.645, 846.33, 146.29, 253.09, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.646, 846.32, 146.28, 252.77, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.646, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.646, 846.32, 146.28, 252.96, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.646, 846.33, 146.28, 252.84, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.790, 846.32, 146.28, 252.89, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.792, 846.32, 146.28, 252.89, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.793, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.794, 846.32, 146.28, 252.87, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.797, 846.33, 146.28, 252.96, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.800, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.800, 846.33, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.800, 846.31, 146.28, 252.92, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.803, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.820, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.835, 846.33, 146.28, 252.87, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.855, 846.32, 146.29, 253.02, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.855, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.888, 846.33, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.889, 846.33, 146.28, 252.78, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.914, 846.33, 146.28, 252.84, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.934, 846.33, 146.28, 252.89, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.955, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.970, 846.31, 146.28, 252.89, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.994, 846.32, 146.28, 252.89, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:21.995, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:22.045, 846.32, 146.29, 252.99, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:22.046, 846.33, 146.28, 252.84, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
2022-02-17 13:46:22.070, 846.33, 146.29, 253.00, 0.00, 50.00, 0.00, 0, old, 1, 00:06:66:E7:8A:D1
